,ra_str,dec_str,WDS,DD,ADS,HD,HIP,V1,V1_err,V2,V2_err,period,period_units,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN,*.1,eee.eeee.1,TTTTT.TTTTTT,*.2,eee.eeeeee.1,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee.2,EQNX,LAST,G,N,REF,PNGFILE,period_days,ra,dec,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
34,001420.22,-273151.9,00143-2732,HDS  33,,1002.0,1144.0,7.93,,8.88,,10.22,y,0.07,0.124,a,0.002,28.4,2.5,215.3,,5.3,2013.47,y,0.04,0.609,0.009,80.0,4.3,2000.0,2014.0,2,,Tok2015c,wds00143-2732o.png,3732.775284,3.58425,-27.5310833333,1144,           ,1635378410781933568,2323040092630717568,999333,2015.0,3.58411699968,0.461607461087,-27.5320782446,0.432666474573,19.8012755502,0.694834300707,-18.91085513,0.0534276562828,-151.37119063,0.0433303296183,0.328295439482,0.576749682426,0.369114130735,0.120977506042,0.229114472866,0.109141200781,0.412529170513,0.203303992748,0.0789429619908,0.0757606998086,97,97,95,95,2,2,167.604263306,1.75701058392,1856.38168584,True,17.058385849,0.305986732244,9.94896436168e-06,3,12,True,0.682729661465,0.218212157488,0.411784261465,0.763674616814,-48.5337104797,-55.6812705994,43.6645698547,17.5674724579,99,21031946.084,13546.3602344,7.21757141441,NOT_AVAILABLE,27.9993959175,-81.7520327148,351.452923313,-26.4970830145,0.000366295496955
38,001517.83,+441212.2,00153+4412,A  1256AB,197.0,1082.0,1233.0,7.3,,7.5,,137.958,y,1.657,0.1527,a,0.0008,62.9,0.3,68.4,,1.0,1997.78,y,0.12,0.7238,0.0096,118.14,0.02,2000.0,1991.0,3,n,Ole2003d,wds00153+4412k.png,50388.0834276,3.82429166667,44.2033888889,1233,           ,1635378410781933568,385538117282587392,139246,2015.0,3.82434528433,0.477517532695,44.2033836354,0.378183156684,1.06467159658,0.613705491104,7.08845162051,0.0290186716168,-2.25334618059,0.0227297355051,-0.0302572473884,0.370027691126,0.685337901115,-0.01930058375,0.19037155807,-0.0209251735359,0.703812837601,0.250369340181,0.137110903859,-0.0346797034144,98,98,98,96,0,2,27.4590644836,1.88447013879,1445.75217791,True,18.2917499542,0.280163794756,1.35424897962e-05,3,15,False,0.446473121643,0.214842140675,0.56122726202,0.552560448647,1.03735673428,15.4949369431,21.2131767273,9.11100006104,120,30012639.059,202295.405367,6.83150960057,NOT_AVAILABLE,116.12642227,-18.1902798068,24.1830005696,38.3640635324,9.81534898734e-06
74,003208.28,-051043.3,00321-0511,A   111AB,450.0,2880.0,2533.0,9.4,,9.4,,10.64,y,0.02,0.122,a,0.003,155.7,4.2,206.5,,18.5,2015.19,y,0.19,0.538,0.014,101.6,14.9,2000.0,2014.0,2,n,Tok2015c,wds00321-0511o.png,3886.177008,8.0345,-5.17869444444,2533,           ,1635378410781933568,2527046125744034176,824775,2015.0,8.03572869864,0.25541399244,-5.17881081059,0.182733331383,20.4169178854,0.321664464436,295.902555241,0.0893341093788,-25.7760961902,0.0602378526322,0.601209163666,-0.00949696265161,0.0372287407517,0.0671196952462,0.0155521770939,0.0343800485134,0.10064381361,-0.0552522055805,-0.0279736276716,0.154424905777,175,175,174,171,1,4,0.573355019093,0.835368002173,816.883199108,True,3.36772990227,1.32671284676,1.49427705765e-05,3,39,False,0.310051977634,0.671255946159,0.259023159742,0.275694102049,143.310470581,-30.4627323151,29.6215610504,-37.1770133972,168,7524471.9372,3645.10534162,8.3335799968,NOT_AVAILABLE,110.250482065,-67.5742491066,5.31991085572,-7.94338056658,1.28780321039e-05
114,005043.57,+641451.3,00507+6415,MCA   2,,4775.0,3951.0,5.7,,6.8,,5.7255,y,0.0046,0.0341,a,0.0013,140.3,9.1,125.1,,9.7,1982.3463,y,0.0093,0.534,0.007,143.31,0.96,2000.0,1994.0,3,n,Msn1997b,wds00507+6415a.png,2091.1942161,12.6815416667,64.2475833333,3951,           ,1635378410781933568,524013669703057536,1206463,2015.0,12.6820120878,0.632617504086,64.247508547,0.762601015689,5.90347896544,0.955803547112,30.2933942249,0.0283019793947,-10.9539212887,0.0336943262305,-0.196484103799,0.0019757503178,0.939810574055,-0.186810240149,0.503809154034,-0.18486662209,0.9529286623,0.00110456510447,0.480994999409,-0.196625903249,132,132,132,125,0,7,170.764648438,3.58979700644,4590.13074471,True,34.806892395,0.0775714963675,5.82281390962e-05,3,18,False,0.0492818020284,0.235785901546,0.0821042731404,0.36204084754,-78.4750823975,49.2510795593,17.6672954559,21.0333175659,149,132097795.738,796384.150942,5.22253113689,NOT_AVAILABLE,122.85479082,1.37586485603,46.4425616082,52.0375934591,8.34246410944e-05
143,010143.49,+251732.1,01017+2518,HDS 134,,6009.0,4809.0,7.48,,7.76,,16.41,y,0.11,0.128,a,0.002,58.4,0.5,57.1,,0.8,1998.62,y,0.02,0.393,0.012,106.9,0.6,2000.0,2004.0,3,n,Bag2006,wds01017+2518a.png,5993.624502,15.4312083333,25.29225,4809,           ,1635378410781933568,2804558256393516288,1693633,2015.0,15.4322114984,0.314828740545,25.2921660968,0.334697362217,13.2165742109,0.476914325025,135.287686488,0.045571711387,-12.6906263552,0.0316473618663,0.435126364231,-0.56401258707,0.254053175449,0.173196405172,-0.744503617287,0.134136214852,0.433695048094,-0.194189414382,-0.339494794607,0.378715276718,44,44,44,44,0,0,6.78135108948,0.720512839473,389.059574811,True,7.05448913574,1.8512802124,1.92177813005e-05,3,7,True,0.585588276386,0.174060553312,0.44580924511,0.689418494701,-169.165267944,-1.60914695263,-44.0978775024,18.6974868774,60,42733194.7464,24803.4867866,6.4478566588,NOT_AVAILABLE,125.865039265,-37.5209687747,24.1449773593,17.2342150104,0.000344702862536
160,010747.83,-412913.0,01078-4129,RST3352,,6767.0,5300.0,5.54,,6.88,,28.36,y,0.04,0.2396,a,0.0005,65.3,0.3,142.7,,0.3,2007.94,y,0.02,0.424,0.002,333.9,0.4,,2007.0,2,n,DRs2012,wds01078-4129k.png,10358.268792,16.9492916667,-41.4869444444,5300,           ,1635378410781933568,4987749850172533120,476085,2015.0,16.9495629755,0.538617123049,-41.4868373194,0.43933489344,7.32665694114,0.96491258703,32.6040376774,0.0311590559997,15.1277133462,0.0262015826508,-0.580773949623,-0.0977184772491,0.732189238071,-0.411565750837,0.213763907552,-0.424063116312,0.710758686066,-0.0682838857174,0.144037365913,-0.475046426058,526,526,526,521,0,5,778.764099121,4.26232030328,65603.8815384,True,41.3227577209,0.0527450218797,5.4819513025e-05,3,68,False,0.796194493771,0.599086344242,0.536571264267,0.64601290226,-145.623397827,34.8747406006,-18.3501930237,42.1611328125,550,134993025.457,221916.355002,5.19899173675,NOT_AVAILABLE,290.814514931,-75.2542171722,354.964420288,-43.9996264678,8.05326575792e-05
274,020339.26,+255607.6,02037+2556,STF 208AB,1631.0,12558.0,9621.0,5.82,,7.87,,325.0,y,,1.39,a,,51.0,,20.5,,,1931.6,y,,0.59,,165.0,,,,3,n,Hei1996a,wds02037+2556a.png,118703.715,30.9135833333,25.9354444444,9621,           ,1635378410781933568,105599982953518208,416830,2015.0,30.9145230405,0.348694137086,25.9355291824,0.396332606111,18.1964665566,0.461967186788,126.712116376,0.0397022745509,12.2118411509,0.031742247964,0.473489403725,-0.441138386726,0.345557153225,0.2353541255,-0.605720281601,0.178569748998,0.507640421391,-0.185971170664,-0.315375238657,0.352108418941,67,67,67,66,0,1,10.2026462555,1.08790269599,1239.74546785,True,10.5913305283,0.789433956146,4.06420003856e-05,3,8,False,0.31379789114,0.306225717068,0.508150577545,0.820015728474,-147.056777954,-45.6651535034,-39.7200622559,26.3027992249,67,90034532.7885,248937.664013,5.63874727571,NOT_AVAILABLE,142.615849135,-34.1606735266,37.7723638066,12.561649091,0.000318901417975
291,021429.10,+663128.0,02145+6631,MCA   6,,13474.0,10438.0,6.4,,7.6,,40.97,y,,0.084,a,,20.6,,43.5,,,1989.39,y,,0.374,,84.1,,2000.0,2008.0,3,n,Cve2010c,wds02145+6631a.png,14963.972934,33.62125,66.5244444444,10438,           ,1635378410781933568,520166959554143872,1447565,2015.0,33.6211917647,0.599178746362,66.5244158639,0.582649517593,3.96077591915,0.777084852027,-4.46729025335,0.0282234779883,-3.97770984477,0.0285088743669,-0.339008778334,-0.0991518050432,0.891489088535,-0.290353029966,-0.0519977286458,-0.301455169916,0.85904443264,-0.0901703909039,-0.0412970818579,-0.330144822598,103,103,103,103,0,0,205.68460083,2.66711414625,6321.09960542,True,25.8691616058,0.132266506553,3.60410776921e-05,3,16,False,0.166505694389,0.29649707675,0.0639022216201,0.443469882011,149.877532959,39.5629920959,27.4543914795,-38.9495697021,115,78533344.5185,183519.147662,5.78713483071,NOT_AVAILABLE,131.080755479,4.97553319061,59.6803373094,48.9209785811,1.28523384202e-05
303,021836.27,+401643.7,02186+4017,"EGG   2Aa,Ab",1763.0,14189.0,10772.0,7.9,,7.9,,29.71,y,0.07,136.0,m,0.9,7.0,6.0,166.0,,3.0,2013.02,y,0.05,0.813,0.005,164.0,2.0,2000.0,2014.0,3,n,Hor2015b,wds02186+4017o.png,10851.345762,34.651125,40.2788055556,10772,           ,1635378410781933568,332903774106559872,736900,2015.0,34.6509203879,0.34644938189,40.2787408291,0.291432596333,10.1162031958,0.393757334017,-24.7694921634,0.142925870003,-9.91746442222,0.128578481504,-0.0541302226484,0.00872115697712,-0.0201329961419,-0.0387839898467,-0.3115670681,-0.00523008126765,0.0140552045777,-0.064841479063,-0.0158473718911,0.227853819728,61,61,61,59,0,2,2.95340943336,1.00474311469,500.01451391,True,9.78923988342,0.93847566843,1.32667364596e-05,3,9,False,0.286562353373,0.201289951801,0.316356539726,0.743356585503,-131.870193481,5.40400409698,-41.1837921143,27.8117713928,74,23162070.6749,15092.9477908,7.11282660771,NOT_AVAILABLE,140.42900845,-19.6129021242,46.230396934,24.8733804913,5.78403614536e-05
317,022609.51,+342810.5,02262+3428,HDS 318,,15013.0,11352.0,8.7,,9.14,,6.85,y,0.05,0.1,a,0.001,50.0,0.6,15.1,,0.9,1995.12,y,0.06,0.284,0.006,4.4,1.6,2000.0,2003.0,2,n,Bag2005,wds02262+3428b.png,2501.90907,36.539625,34.4695833333,11352,           ,1635378410781933568,326940160479255424,763539,2015.0,36.5405427185,0.449304478212,34.469241464,0.246025697489,22.1296146094,0.360629568531,116.039934492,0.0559052494936,-50.8079556796,0.0371977888231,-0.305070608854,-0.469947218895,0.291764765978,-0.0755889937282,-0.00882507953793,-0.08711771667,0.240937069058,-0.176006153226,-0.0124066388234,0.058253146708,43,43,43,43,0,0,4.88616657257,0.736321156451,226.674998174,True,7.20618963242,1.71824109554,4.72736383017e-06,3,5,False,0.480605363846,0.580828070641,0.26237013936,0.897865653038,169.068252563,17.9198551178,-36.0861358643,23.4836082458,41,12707011.5489,9099.91739263,7.76466150225,NOT_AVAILABLE,144.262265338,-24.4487430677,45.5612249468,18.9055623298,0.000302530196981
326,023318.90,+521832.3,02333+5219,STT  42AB,1938.0,15703.0,11889.0,7.11,,8.03,,297.72,y,11.35,0.295,a,0.004,80.3,0.1,96.1,,0.1,1985.66,y,11.38,0.353,0.009,222.4,1.2,2000.0,1996.0,3,n,Cve2006e,wds02333+5219b.png,108739.907784,38.32875,52.3089722222,11889,           ,1635378410781933568,452117497715164928,45505,2015.0,38.3285871827,0.555846623248,52.3089208704,0.561349912987,4.93829748144,0.687591804089,-15.6909863564,0.0341093841712,-8.66008304782,0.03060995301,-0.199246510863,0.259833693504,0.675161659718,-0.154365941882,0.095647610724,-0.137426644564,0.764784932137,0.171617135406,0.0719555094838,-0.0760459825397,61,61,61,60,0,1,3.82742166519,1.96343457073,2102.14418244,True,19.055978775,0.243109986186,1.78843820322e-05,3,9,False,0.216449245811,0.22642621398,0.276487261057,0.777620077133,-98.4313659668,53.678188324,31.9753627777,31.0675106049,77,36739269.2781,30375.5189838,6.61194377834,NOT_AVAILABLE,138.309804515,-7.49458058106,54.1031641593,35.1132057872,3.74241721753e-05
335,023813.90,+460403.0,02382+4604,A  1278,1992.0,16283.0,,8.9,,9.0,,108.59,y,,0.234,a,,104.7,,131.0,,,2000.64,y,,0.711,,73.5,,2000.0,2010.0,3,n,Doc2012i,wds02382+4604f.png,39661.650498,39.5579166667,46.0675,-2147483648,3296-2445-1,1635378410781933568,341859330674409728,1064391,2015.0,39.5579640002,3.24574434914,46.0673292874,1.7684180906,7.97054315656,0.737007252322,6.49482821653,0.327647737252,-40.6475300142,0.35825959125,-0.978284835815,0.658054947853,0.367429047823,-0.369669795036,-0.677008986473,-0.371317476034,0.33464756608,0.22406886518,-0.321621894836,-0.330694437027,65,65,53,63,12,2,,1.52268688172,157.337937471,True,14.7918119431,0.416441261768,7.79940819484e-06,5,10,False,0.320430517197,0.972783982754,0.317859262228,0.894224762917,-162.378128052,27.2168388367,-42.3802490234,27.400592804,83,10035283.9211,13954.2984631,8.02094590339,NOT_AVAILABLE,141.582731939,-12.9012533378,52.2903893747,29.0103710049,5.93390963804e-06
412,032424.73,-153913.8,03244-1539,A  2909AB,2524.0,21161.0,15868.0,8.4,,8.4,,11.35,y,0.26,0.172,a,0.003,71.3,1.0,16.2,,0.5,2013.74,y,0.05,0.507,0.015,283.0,1.0,2000.0,2013.0,3,n,Doc2016d,wds03244-1539j.png,4145.49897,51.1030416667,-15.6538333333,15868,           ,1635378410781933568,5106746695111285760,69108,2015.0,51.104020801,0.208308242712,-15.6542571373,0.162339283973,19.9024610264,0.257157532097,221.236297661,0.0510453804441,-100.626770159,0.041279600318,-0.515239357948,0.418957710266,0.158305421472,-0.0830378010869,-0.531029582024,-0.09963465482,0.117314912379,0.0808805450797,-0.0893958881497,-0.0686083212495,113,113,113,108,0,5,0.0563062429428,0.476311194373,106.134037745,True,4.72350311279,4.11107206345,7.62826311984e-06,3,16,False,0.333867549896,0.485625803471,0.130058452487,0.650075793266,-34.4925498962,24.6586494446,25.2437324524,26.3247795105,130,19036850.0906,7112.01439537,7.32578233888,NOT_AVAILABLE,202.970431843,-52.7580814075,43.8216176013,-33.070281223,2.14800467889e-05
422,033040.06,-192608.0,03307-1926,HDS 441,,21841.0,16345.0,8.22,,8.47,,18.964,y,0.125,0.2181,a,0.0097,102.7,1.1,17.8,,0.9,2007.281,y,0.149,0.5,0.059,84.4,9.8,2000.0,2014.0,3,,Cve2016b,wds03307-1926i.png,6926.4530808,52.6669166667,-19.4355555556,16348,           ,1635378410781933568,5101676365959144832,1621037,2015.0,52.6668906747,0.541033528136,-19.4356068507,0.54831053664,24.1721058444,0.720762728789,-0.856078277608,0.0463765600431,-5.94563240313,0.0402244498024,-0.565039098263,0.356389850378,0.485940366983,-0.326956540346,-0.557550668716,-0.283440709114,0.563340604305,0.172527715564,-0.323551952839,-0.0664453357458,113,113,111,113,2,0,0.679564654827,2.07965704371,3109.55351468,True,20.1809482574,0.2113609761,8.81869800651e-06,3,14,False,0.306129962206,0.442339271307,0.0450443737209,0.439796984196,-77.3808746338,36.952091217,31.5024337769,28.1984100342,119,20428179.2784,11551.4491286,7.24919591238,NOT_AVAILABLE,209.69108475,-52.7931387172,44.1713106844,-37.1244601843,3.37941266367e-05
426,033341.23,+575207.1,03337+5752,CHR 117,,21794.0,16602.0,6.36,,6.6,,14.47,y,0.07,0.12,a,0.001,46.0,1.0,235.0,,1.0,1990.15,y,0.03,0.35,0.01,236.0,1.0,,1998.0,2,n,Bag2002,wds03337+5752a.png,5285.054634,53.4217916667,57.8686388889,16602,           ,1635378410781933568,449812371587494400,261774,2015.0,53.4218761774,0.375194868627,57.8688769996,0.352589073635,13.2722395235,0.539897171742,5.67691797858,0.0417763812462,36.5541090895,0.0362354348426,-0.152251675725,0.0503588840365,0.34560751915,-0.0702923685312,-0.308817327023,-0.0638001784682,0.379756659269,0.0135428085923,-0.124072745442,0.0509282723069,158,158,156,155,2,3,12.3016223907,2.00982387228,5776.77605266,True,19.5049819946,0.231823697686,2.56933926721e-05,3,20,False,0.520121276379,0.19291266799,0.218571916223,0.192622840405,-101.27532959,17.3375167847,-20.2024993896,22.7889575958,169,53168890.282,82353.3726776,6.21062607383,NOT_AVAILABLE,143.17334656,1.52084434184,66.4940091426,37.3773046371,8.84047682408e-05
430,033501.04,+600229.0,03350+6002,STF 400AB,2612.0,21903.0,16712.0,6.79,,7.97,,244.52,y,,1.052,a,,67.1,,82.6,,,1939.07,y,,0.669,,35.1,,,1996.0,3,n,USN2000b,wds03350+6002a.png,89309.022744,53.7543333333,60.0413888889,16712,           ,1635378410781933568,450345084977673216,420293,2015.0,53.7540086367,0.410314814287,60.0415352973,0.261811355635,19.2488425425,0.395957575862,-23.1975336353,0.0350193829437,23.9940530557,0.0408312737188,-0.298480451107,0.203666195273,0.478481739759,-0.0776893869042,-0.214312791824,-0.144278421998,0.242247000337,0.0943058133125,-0.0488170981407,-0.070368796587,87,87,86,85,1,2,7.74926757812,1.18703267534,505.012388278,True,11.5481681824,0.700638949871,1.48809158418e-05,3,12,False,0.207498177886,0.488405257463,0.174253597856,0.123851396143,-40.049118042,14.8181791306,-22.8455562592,44.7802772522,87,34344342.3461,39160.8621526,6.68513205244,NOT_AVAILABLE,142.048766464,3.38832958095,67.5375541192,39.3974269233,8.02792026378e-05
432,033609.47,+422021.9,03362+4220,A  1535,2630.0,22193.0,16793.0,8.84,,9.54,,145.05,y,8.72,0.531,a,0.01,48.1,4.0,156.8,,3.6,1940.32,y,2.85,0.372,0.034,8.5,11.7,2000.0,2003.0,3,n,Hrt2008,wds03362+4220a.png,52978.38111,54.0394583333,42.3394166667,16793,           ,1635378410781933568,237415071884513152,288560,2015.0,54.0402372902,0.665532336908,42.3388061041,0.420460262022,17.4276006913,0.912457659606,139.293635987,0.101099987167,-145.772258962,0.0647165610483,0.538029313087,0.321585893631,0.23388248682,0.163987904787,0.412956744432,0.164296209812,0.227636277676,0.0675078034401,0.122207865119,-0.40881216526,160,160,160,139,0,21,4.01315641403,2.54648228172,3924.37710639,True,24.7009048462,0.151104733348,1.17757945191e-05,3,22,True,0.453166395426,0.618825733662,0.401011973619,0.243378892541,-39.3835487366,-21.0992832184,-32.4026985168,-36.3413085938,184,6428582.12452,30588.4312314,8.50448207298,NOT_AVAILABLE,152.637116243,-10.8370111877,62.0147294212,22.3301118764,5.59493139355e-06
440,034115.91,+455345.0,03413+4554,BU 1181AB,2680.0,22743.0,17217.0,8.2,,9.9,,46.2,y,1.1,0.27,a,0.13,90.3,3.6,269.9,,4.5,1974.8,y,1.7,0.79,0.76,50.1,9.0,2000.0,2012.0,3,n,RAO2015,wds03413+4554i.png,16874.18964,55.3162916667,45.8958333333,17217,           ,1635378410781933568,244840898544815104,813264,2015.0,55.3159791259,0.265932932776,45.8958572443,0.119151100544,19.9866435065,0.385365716927,-58.7207439343,0.0695522206448,4.23952348143,0.0428247691275,0.145076334476,-0.467827379704,0.0632663741708,-0.0145947169513,0.269193381071,-0.00181421579327,-0.0207570232451,-0.108397036791,0.0704107806087,0.0458645671606,81,81,78,76,3,5,65.2707977295,0.512766110434,120.433043148,True,5.0693693161,3.56667971611,8.34361708257e-06,3,9,False,0.303084403276,0.666644394398,0.116532705724,0.106129825115,-163.947662354,-10.4533433914,-41.891254425,-24.9835624695,73,13109914.4881,7486.40035992,7.73077041651,NOT_AVAILABLE,151.212536721,-7.44395866256,63.9639158654,25.5422510613,2.78616688221e-05
470,035423.18,-402125.3,03544-4021,FIN 344AB,,24744.0,18262.0,6.5,,6.5,,14.03,y,0.04,0.0614,a,0.0005,32.4,1.5,247.4,,2.0,2008.05,y,0.04,0.579,0.008,49.7,2.3,2000.0,2014.0,2,n,Tok2015c,wds03544-4021o.png,5124.348066,58.5965833333,-40.3570277778,18262,           ,1635378410781933568,4843381533903802624,1278743,2015.0,58.5963986769,0.407326482631,-40.3569759965,0.480839246887,5.8131475123,0.519430268359,-20.5518046314,0.0217308717953,8.04908570924,0.0249662005383,-0.226965069771,0.00227420404553,0.786965310574,-0.183109819889,-0.313185840845,-0.17863740027,0.807026863098,0.00237308489159,-0.25633046031,-0.197024926543,156,156,156,154,0,2,76.5555343628,2.38448177797,12312.2793987,True,23.1321620941,0.166942149401,4.11659275414e-05,3,24,False,0.16881480813,0.248337566853,0.196691215038,0.178860113025,-97.6872177124,63.4214057922,10.2487506866,-8.97387886047,185,103181085.235,177993.000762,5.49076983541,NOT_AVAILABLE,244.384152108,-50.2300204973,40.5024006993,-58.5206644178,5.8022868032e-05
476,040047.29,+050458.2,04008+0505,A  1937,2928.0,25248.0,18734.0,9.38,,9.48,,42.93,y,1.13,0.1,a,0.0012,47.1,3.1,25.9,,4.4,2014.94,y,0.15,0.55,0.019,14.7,8.0,2000.0,2014.0,2,n,Tok2015c,wds04008+0505o.png,15679.847646,60.1970416667,5.08283333333,18734,           ,1635378410781933568,3272873553246043648,789384,2015.0,60.1971722565,0.235932316401,5.08276234256,0.125180582543,4.85682782974,0.2772774676,19.1255922821,0.0875963546694,-12.0702219141,0.0528916780933,0.211417451501,-0.177233546972,0.0153759606183,-0.0164988674223,0.00829289574176,-0.0179620608687,0.0152733456343,-0.0741852596402,-0.0314968340099,0.341167896986,177,177,176,169,1,8,10.3502674103,0.692360019228,327.017632059,True,6.78449583054,2.01369833946,1.73508888111e-05,3,25,False,0.404140025377,0.567505121231,0.367996305227,0.0882544592023,-13.142950058,-8.7787437439,-14.2246074677,14.6791439056,207,6591589.73908,2534.71734015,8.4772946413,NOT_AVAILABLE,185.104060024,-34.0803020764,59.132280772,-15.2200083592,5.44720302801e-05
481,040421.67,+240621.7,04044+2406,"MCA  13Aa,Ab",2965.0,25555.0,19009.0,5.47,,5.5,,7.9412,y,0.0093,0.0289,a,0.0024,149.4,6.9,260.0,,15.0,1985.092,y,0.013,0.683,0.006,287.7,1.6,2000.0,1993.0,3,n,Msn1997b,wds04044+2406a.png,2900.46135864,61.0902916667,24.1060277778,19009,           ,1635378410781933568,66010692402156928,911331,2015.0,61.0902971132,0.987487439637,24.1059539412,0.281984727212,2.97326709612,0.905526357095,-1.363270718,0.0465552895545,-10.9907333278,0.0182227599341,-0.167039439082,-0.0316000059247,0.890841960907,-0.109042130411,0.0802283361554,-0.149255737662,0.646030187607,-0.0290684737265,0.0493106730282,-0.0849158838391,273,273,273,260,0,13,92.3040084839,3.06916769166,11505.2683499,True,29.7633571625,0.104835480452,5.89178343944e-05,3,42,False,0.619962096214,0.855965137482,0.573376953602,0.625058591366,-6.44642210007,3.01865410805,-2.26583766937,3.96488118172,312,141940276.281,511363.007436,5.14450594827,NOT_AVAILABLE,169.667411117,-20.7880739641,63.7692779157,3.26087763147,2.99968172506e-05
482,040616.41,+195228.5,04063+1952,BAG   4,,25811.0,,8.9,,9.1,,30.68,y,,0.079,a,,128.0,,50.0,,,1990.96,y,,0.045,,32.0,,,1997.0,3,n,Bag2001,wds04063+1952a.png,11205.630696,61.568375,19.8745833333,-2147483648,1258-22-1  ,1635378410781933568,51862726531916544,166082,2015.0,61.5684073681,0.488331011063,19.8745584841,0.364958513198,5.22079667511,0.417288984777,5.47831350824,0.589590127635,-10.74946777,0.698695745672,-0.497280091047,-0.39091616869,-0.576515078545,0.446922361851,0.582455396652,0.107835441828,-0.934757828712,-0.16199362278,-0.585920035839,-0.0910669341683,61,61,61,59,0,2,,0.539080019826,138.96559595,True,5.31963205338,3.18098735809,1.45418998727e-05,5,7,True,0.380191326141,0.727923750877,0.245145469904,0.476473778486,161.564361572,6.78601169586,41.1945381165,14.5122766495,58,6186948.9326,5776.21997997,8.54607873548,NOT_AVAILABLE,173.285042903,-23.4090495906,63.3963122838,-0.977297458078,2.13444288534e-05
505,041412.92,+281212.3,04142+2813,"BOD   2Aa1,2",,283447.0,19762.0,10.7,,,,51.1033,d,0.0018,2.809,m,0.033,68.5,1.6,62.4,,1.1,53059.75,m,0.28,0.2713,0.0066,5.6,2.2,2000.0,2009.0,1,n,TRM2012,wds04142+2813t.png,51.1033,63.5538333333,28.2034166667,19762,           ,1635378410781933568,163184361834143360,2031757,2015.0,63.5538894522,0.420372426038,28.203316875,0.203401420376,7.24029234469,0.457374281836,8.09351314365,0.151847438041,-24.0191578144,0.0974571845006,0.305858403444,-0.0279549825937,-0.0244961548597,0.0217298865318,0.0553557425737,0.0404681004584,-0.127863690257,-0.0724350437522,-0.00439456757158,-0.0669455677271,167,167,167,167,0,0,2.11472034454,1.40250362906,3595.22268072,True,13.6298809052,0.485960394144,1.94481999642e-05,3,21,True,0.163454517722,0.676678776741,0.182358965278,0.202350124717,-166.677566528,-10.8851861954,53.9824523926,-23.1239356995,183,1846176.05331,4644.28439774,9.85908728022,NOT_AVAILABLE,168.216883037,-16.3400214008,66.7137326518,6.8768794095,1.57358704104e-05
506,041412.92,+281212.3,04142+2813,"GHE   1Aa,Ab",,283447.0,19762.0,11.0,,12.8,,26.2,y,1.1,0.1155,a,0.0034,71.48,0.78,288.2,,1.0,2010.53,y,1.0,0.099,0.026,94.0,17.0,2000.0,2009.0,3,n,Bod2012,wds04142+2813k.png,9569.34564,63.5538333333,28.2034166667,19762,           ,1635378410781933568,163184361834143360,2031757,2015.0,63.5538894522,0.420372426038,28.203316875,0.203401420376,7.24029234469,0.457374281836,8.09351314365,0.151847438041,-24.0191578144,0.0974571845006,0.305858403444,-0.0279549825937,-0.0244961548597,0.0217298865318,0.0553557425737,0.0404681004584,-0.127863690257,-0.0724350437522,-0.00439456757158,-0.0669455677271,167,167,167,167,0,0,2.11472034454,1.40250362906,3595.22268072,True,13.6298809052,0.485960394144,1.94481999642e-05,3,21,True,0.163454517722,0.676678776741,0.182358965278,0.202350124717,-166.677566528,-10.8851861954,53.9824523926,-23.1239356995,183,1846176.05331,4644.28439774,9.85908728022,NOT_AVAILABLE,168.216883037,-16.3400214008,66.7137326518,6.8768794095,1.57358704104e-05
